size,type,ms
11900,almost,1
12000,random,2
12000,reverse,1
12000,almost,1
12100,random,2
12100,reverse,1.2
12100,almost,1
12200,random,2
12200,reverse,1
12200,almost,1.2
12300,random,2
12300,reverse,1
12300,almost,1
12400,random,2
12400,reverse,1
12400,almost,1
12500,random,2
12500,reverse,1
12500,almost,1
12600,random,2
12600,reverse,1
12600,almost,1
12700,random,2
12700,reverse,1
12700,almost,1
12800,random,2
12800,reverse,1
12800,almost,1.2
12900,random,2
12900,reverse,1
12900,almost,1
13000,random,2
13000,reverse,1
13000,almost,1
13100,random,2
13100,reverse,1
13100,almost,1
13200,random,2.2
13200,reverse,1
13200,almost,1
13300,random,2
13300,reverse,1
13300,almost,1.2
13400,random,2
13400,reverse,1.4
13400,almost,1.2
13500,random,2
13500,reverse,1.2
13500,almost,1
13600,random,2
13600,reverse,1
13600,almost,1
13700,random,2
13700,reverse,1
13700,almost,1
13800,random,2
13800,reverse,1
13800,almost,1
13900,random,2
13900,reverse,1
13900,almost,1.2
14000,random,2
14000,reverse,1
14000,almost,1.2
14100,random,2.2
14100,reverse,1
14100,almost,1
14200,random,2.2
14200,reverse,1
14200,almost,1
14300,random,2
14300,reverse,1
14300,almost,1
14400,random,2.2
14400,reverse,1.2
14400,almost,1.2
14500,random,2
14500,reverse,1.2
14500,almost,1.4
14600,random,2.2
14600,reverse,1
14600,almost,1.2
14700,random,2.8
14700,reverse,1.2
14700,almost,1.4
14800,random,2.4
14800,reverse,1.2
14800,almost,1.4
14900,random,2.4
14900,reverse,1
14900,almost,1.2
15000,random,2.6
15000,reverse,1
15000,almost,1.4
15100,random,2.8
15100,reverse,1.8
15100,almost,1.4
15200,random,3
15200,reverse,1.4
15200,almost,1.6
15300,random,3
15300,reverse,1.4
15300,almost,2
15400,random,3
15400,reverse,2
15400,almost,1.6
15500,random,3
15500,reverse,1.4
15500,almost,1.8
15600,random,3
15600,reverse,2
15600,almost,1.6
15700,random,3
15700,reverse,2
15700,almost,1.6
15800,random,3
15800,reverse,2
15800,almost,2
15900,random,3
15900,reverse,2
15900,almost,2
16000,random,3
16000,reverse,2
16000,almost,2
16100,random,3
16100,reverse,2
16100,almost,2
16200,random,3
16200,reverse,2
16200,almost,2
16300,random,3
16300,reverse,2
16300,almost,2
16400,random,3
16400,reverse,2
16400,almost,2
16500,random,3
16500,reverse,2
16500,almost,2
16600,random,3
16600,reverse,2
16600,almost,2
16700,random,3
16700,reverse,2
16700,almost,2
16800,random,3
16800,reverse,2
16800,almost,2
16900,random,3
16900,reverse,2
16900,almost,2
17000,random,3
17000,reverse,2
17000,almost,2
17100,random,3
17100,reverse,2
17100,almost,2
17200,random,3.2
17200,reverse,2
17200,almost,2
17300,random,3
17300,reverse,2
17300,almost,2
17400,random,3
17400,reverse,2
17400,almost,2
17500,random,3
17500,reverse,2
17500,almost,2
17600,random,3
17600,reverse,2
17600,almost,2
17700,random,3
17700,reverse,2
17700,almost,2
17800,random,3
17800,reverse,2
17800,almost,2
17900,random,3.2
17900,reverse,2
17900,almost,2
18000,random,3
18000,reverse,2
18000,almost,2
18100,random,3
18100,reverse,2
18100,almost,2
18200,random,3.2
18200,reverse,2
18200,almost,2
18300,random,3.2
18300,reverse,2
18300,almost,2.2
18400,random,3.2
18400,reverse,2.2
18400,almost,2
18500,random,3.2
18500,reverse,2
18500,almost,2
18600,random,3.4
18600,reverse,2
18600,almost,2
18700,random,3.2
18700,reverse,2
18700,almost,2
18800,random,3
18800,reverse,2
18800,almost,2
18900,random,3
18900,reverse,2
18900,almost,2
19000,random,3
19000,reverse,2
19000,almost,2
19100,random,3.4
19100,reverse,2
19100,almost,2
19200,random,3.2
19200,reverse,2
19200,almost,2
19300,random,3
19300,reverse,2
19300,almost,2
19400,random,3
19400,reverse,2
19400,almost,2.2
19500,random,3.2
19500,reverse,2
19500,almost,2
19600,random,3.2
19600,reverse,2
19600,almost,2
19700,random,3.4
19700,reverse,2
19700,almost,2
19800,random,3.6
19800,reverse,2
19800,almost,2
19900,random,3.2
19900,reverse,2
19900,almost,2
20000,random,3.4
20000,reverse,2
20000,almost,2
20100,random,3.2
20100,reverse,2
20100,almost,2
20200,random,3.8
20200,reverse,2
20200,almost,2
20300,random,4
20300,reverse,2
20300,almost,2
20400,random,4
20400,reverse,2.6
20400,almost,2
20500,random,4
20500,reverse,2
20500,almost,2.2
20600,random,4
20600,reverse,2.6
20600,almost,2
20700,random,4
20700,reverse,3
20700,almost,2.2
20800,random,4
20800,reverse,2.8
20800,almost,2.6
20900,random,4
20900,reverse,3.4
20900,almost,2.6
21000,random,4
21000,reverse,2.8
21000,almost,2.2
21100,random,4
21100,reverse,2.8
21100,almost,3
21200,random,4
21200,reverse,3
21200,almost,3
21300,random,4.2
21300,reverse,3
21300,almost,3
21400,random,4
21400,reverse,3
21400,almost,3
21500,random,4.2
21500,reverse,3
21500,almost,3.2
21600,random,4.8
21600,reverse,3
21600,almost,3
21700,random,4.4
21700,reverse,3
21700,almost,3
21800,random,4.4
21800,reverse,3
21800,almost,3
21900,random,4.4
21900,reverse,3
21900,almost,3
22000,random,4.4
22000,reverse,3
22000,almost,3
22100,random,4.6
22100,reverse,3
22100,almost,3
22200,random,4
22200,reverse,3
22200,almost,3
22300,random,4.2
22300,reverse,3
22300,almost,3.2
22400,random,4.4
22400,reverse,3
22400,almost,3
22500,random,4.4
22500,reverse,3
22500,almost,3
22600,random,4.8
22600,reverse,3
22600,almost,3
22700,random,4.6
22700,reverse,3
22700,almost,3
22800,random,5
22800,reverse,3
22800,almost,3
22900,random,5
22900,reverse,3
22900,almost,3
23000,random,4.6
23000,reverse,3
23000,almost,3
23100,random,5
23100,reverse,3.2
23100,almost,3
23200,random,5
23200,reverse,3
23200,almost,3
23300,random,5
23300,reverse,3
23300,almost,3
23400,random,5
23400,reverse,3
23400,almost,3
23500,random,5
23500,reverse,3
23500,almost,3
23600,random,5
23600,reverse,3
23600,almost,3
23700,random,5
23700,reverse,3
23700,almost,3
23800,random,5
23800,reverse,3
23800,almost,3
23900,random,5
23900,reverse,3
23900,almost,3.4
24000,random,5.2
24000,reverse,3
24000,almost,3
24100,random,5
24100,reverse,3
24100,almost,3
24200,random,5
24200,reverse,3
24200,almost,3.2
24300,random,5
24300,reverse,3
24300,almost,3
24400,random,5
24400,reverse,3
24400,almost,3
24500,random,5
24500,reverse,3
24500,almost,3
24600,random,5
24600,reverse,3
24600,almost,3
24700,random,5.2
24700,reverse,3
24700,almost,3
24800,random,5.6
24800,reverse,3.2
24800,almost,3.2
24900,random,5.2
24900,reverse,3.4
24900,almost,3
25000,random,5.2
25000,reverse,3.4
25000,almost,3.6
25100,random,5.8
25100,reverse,3.2
25100,almost,3.4
25200,random,5
25200,reverse,3
25200,almost,3
25300,random,5
25300,reverse,3
25300,almost,3
25400,random,5
25400,reverse,3.2
25400,almost,3
25500,random,5
25500,reverse,3
25500,almost,3
25600,random,5
25600,reverse,3
25600,almost,3
25700,random,5
25700,reverse,3
25700,almost,3.2
25800,random,5.8
25800,reverse,3
25800,almost,3.4
25900,random,5.2
25900,reverse,3.6
25900,almost,3.2
26000,random,5.6
26000,reverse,3.2
26000,almost,3.2
26100,random,5.4
26100,reverse,3
26100,almost,3.2
26200,random,5
26200,reverse,3.2
26200,almost,3
26300,random,5
26300,reverse,3.4
26300,almost,3.4
26400,random,5.2
26400,reverse,3.2
26400,almost,3.2
26500,random,5.2
26500,reverse,3.2
26500,almost,3.4
26600,random,5
26600,reverse,3.2
26600,almost,3.2
26700,random,5
26700,reverse,3
26700,almost,3
26800,random,5
26800,reverse,3.2
26800,almost,3.4
26900,random,5
26900,reverse,3
26900,almost,3.2
27000,random,5
27000,reverse,3
27000,almost,3
27100,random,5
27100,reverse,3
27100,almost,3.4
27200,random,5.2
27200,reverse,3
27200,almost,3
27300,random,5.4
27300,reverse,3
27300,almost,3
27400,random,5.2
27400,reverse,3
27400,almost,3.2
27500,random,5.4
27500,reverse,3.2
27500,almost,3.4
27600,random,5.4
27600,reverse,3.6
27600,almost,3.2
27700,random,5.6
27700,reverse,3.2
27700,almost,3.4
27800,random,5.6
27800,reverse,3
27800,almost,3.4
27900,random,5.4
27900,reverse,3
27900,almost,3.2
28000,random,5.4
28000,reverse,3
28000,almost,3.4
28100,random,5.4
28100,reverse,3.2
28100,almost,3.6
28200,random,5.8
28200,reverse,3.4
28200,almost,3.2
28300,random,5.6
28300,reverse,3
28300,almost,3.6
28400,random,6
28400,reverse,3
28400,almost,3.2
28500,random,5.6
28500,reverse,3.2
28500,almost,3.4
28600,random,5.8
28600,reverse,3.6
28600,almost,3.4
28700,random,6
28700,reverse,3.2
28700,almost,3.6
28800,random,6
28800,reverse,3.2
28800,almost,3.4
28900,random,5.8
28900,reverse,3.4
28900,almost,3.4
29000,random,6
29000,reverse,3.2
29000,almost,3.4
29100,random,6.2
29100,reverse,3.8
29100,almost,4.2
29200,random,6.4
29200,reverse,3.8
29200,almost,3.8
29300,random,6
29300,reverse,3.8
29300,almost,4
29400,random,6.2
29400,reverse,3.8
29400,almost,4
29500,random,6.2
29500,reverse,4.8
29500,almost,5.4
29600,random,6
29600,reverse,4
29600,almost,4
29700,random,6
29700,reverse,4
29700,almost,4
29800,random,6
29800,reverse,4
29800,almost,4
29900,random,6
29900,reverse,4
29900,almost,4
30000,random,6
30000,reverse,4
30000,almost,4
30100,random,6.2
30100,reverse,4
30100,almost,4
30200,random,6
30200,reverse,4
30200,almost,4.4
30300,random,6.4
30300,reverse,4
30300,almost,4
30400,random,6.4
30400,reverse,4
30400,almost,4
30500,random,6.4
30500,reverse,4
30500,almost,4.2
30600,random,6.2
30600,reverse,4
30600,almost,4
30700,random,6.4
30700,reverse,4
30700,almost,4
30800,random,6.2
30800,reverse,4
30800,almost,4
30900,random,6.2
30900,reverse,4
30900,almost,4
31000,random,6
31000,reverse,4.2
31000,almost,4
31100,random,6
31100,reverse,4
31100,almost,4
31200,random,6
31200,reverse,4
31200,almost,4
31300,random,6
31300,reverse,4
31300,almost,4
31400,random,6
31400,reverse,4
31400,almost,4
31500,random,6
31500,reverse,4
31500,almost,4
31600,random,6
31600,reverse,4
31600,almost,4
31700,random,6.2
31700,reverse,4
31700,almost,4
31800,random,6
31800,reverse,4
31800,almost,4
31900,random,6.4
31900,reverse,4
31900,almost,4
32000,random,6
32000,reverse,4
32000,almost,4
32100,random,6
32100,reverse,4
32100,almost,4
32200,random,6
32200,reverse,4
32200,almost,4
32300,random,6.2
32300,reverse,4
32300,almost,4
32400,random,6
32400,reverse,4
32400,almost,4
32500,random,6.2
32500,reverse,4
32500,almost,4
32600,random,6
32600,reverse,4
32600,almost,4
32700,random,6.2
32700,reverse,4
32700,almost,4
32800,random,6.2
32800,reverse,4
32800,almost,4
32900,random,6.4
32900,reverse,4
32900,almost,4
33000,random,6.2
33000,reverse,4
33000,almost,4.2
33100,random,6.8
33100,reverse,4
33100,almost,4
33200,random,6.6
33200,reverse,4
33200,almost,4
33300,random,7
33300,reverse,4
33300,almost,4
33400,random,6.8
33400,reverse,4.2
33400,almost,4
33500,random,6.6
33500,reverse,4
33500,almost,4
33600,random,7
33600,reverse,4.2
33600,almost,4.4
33700,random,7
33700,reverse,4
33700,almost,4
33800,random,7
33800,reverse,4
33800,almost,4
33900,random,7
33900,reverse,4.4
33900,almost,4
34000,random,7
34000,reverse,4
34000,almost,4
34100,random,7
34100,reverse,4
34100,almost,4
34200,random,7
34200,reverse,4.2
34200,almost,4.2
34300,random,7
34300,reverse,4
34300,almost,4
34400,random,7
34400,reverse,4
34400,almost,4
34500,random,7
34500,reverse,4.4
34500,almost,4.6
34600,random,7.6
34600,reverse,4.2
34600,almost,4.4
34700,random,7.2
34700,reverse,4.4
34700,almost,4.2
34800,random,7
34800,reverse,4.2
34800,almost,4.2
34900,random,7
34900,reverse,4.2
34900,almost,4.2
35000,random,9.8
35000,reverse,5
35000,almost,5
35100,random,7.6
35100,reverse,5
35100,almost,5
35200,random,9.2
35200,reverse,5.2
35200,almost,5
35300,random,8.8
35300,reverse,8
35300,almost,7.8
35400,random,11
35400,reverse,8
35400,almost,8.6
35500,random,11.2
35500,reverse,8.6
35500,almost,8
35600,random,11.2
35600,reverse,8
35600,almost,7.8
35700,random,11.2
35700,reverse,8.2
35700,almost,8.4
35800,random,12
35800,reverse,9
35800,almost,8.8
35900,random,11.8
35900,reverse,8.4
35900,almost,8
36000,random,12.2
36000,reverse,8.6
36000,almost,8.4
