size,type,ms
11700,almost,4
11800,random,5
11800,reverse,4
11800,almost,4
11900,random,5
11900,reverse,4
11900,almost,4
12000,random,5
12000,reverse,4
12000,almost,4
12100,random,5.4
12100,reverse,4.2
12100,almost,4
12200,random,5
12200,reverse,4
12200,almost,4
12300,random,5
12300,reverse,4
12300,almost,4
12400,random,5
12400,reverse,4
12400,almost,4.2
12500,random,5.2
12500,reverse,4.2
12500,almost,4
12600,random,5
12600,reverse,4
12600,almost,4
12700,random,5
12700,reverse,4
12700,almost,4.4
12800,random,5.2
12800,reverse,4
12800,almost,4
12900,random,5
12900,reverse,4
12900,almost,4
13000,random,5
13000,reverse,4
13000,almost,4.2
13100,random,5
13100,reverse,4
13100,almost,4.2
13200,random,5
13200,reverse,4
13200,almost,4
13300,random,5
13300,reverse,4.2
13300,almost,4.6
13400,random,5
13400,reverse,4
13400,almost,4.4
13500,random,5
13500,reverse,4
13500,almost,4.2
13600,random,5
13600,reverse,4
13600,almost,4.8
13700,random,5.6
13700,reverse,4.2
13700,almost,5
13800,random,5.4
13800,reverse,4
13800,almost,5
13900,random,5.6
13900,reverse,5
13900,almost,5
14000,random,6
14000,reverse,4.8
14000,almost,5
14100,random,6.4
14100,reverse,5.2
14100,almost,5
14200,random,6
14200,reverse,5
14200,almost,5
14300,random,6
14300,reverse,5
14300,almost,5.2
14400,random,6
14400,reverse,5
14400,almost,5
14500,random,6.4
14500,reverse,5
14500,almost,5
14600,random,6.6
14600,reverse,5
14600,almost,5
14700,random,7.2
14700,reverse,5
14700,almost,5.4
14800,random,6.2
14800,reverse,5
14800,almost,5.2
14900,random,6
14900,reverse,5
14900,almost,5
15000,random,6
15000,reverse,5.2
15000,almost,5
15100,random,6
15100,reverse,5
15100,almost,5
15200,random,6
15200,reverse,5
15200,almost,5.4
15300,random,6.2
15300,reverse,5
15300,almost,5
15400,random,6
15400,reverse,5
15400,almost,5
15500,random,6
15500,reverse,5
15500,almost,5
15600,random,6
15600,reverse,5
15600,almost,5
15700,random,6.4
15700,reverse,5
15700,almost,5
15800,random,6
15800,reverse,5
15800,almost,5.2
15900,random,6
